nameseq,k1,k2,label
Z75093.1/322-141,1.9264873952224877,3.826319178655162,hacabox
AABY01000157.1/7666-7486,1.9314659247064854,3.8307394736558504,hacabox
AACH01000064.1/11375-11554,1.9309020866957014,3.8510856183345785,hacabox
AACA01000382.1/3439-3617,1.9518357438046468,3.8638406094041975,hacabox
AACI02000001.1/14209-14385,1.9393628650809938,3.8250817838330144,hacabox
nameseq,k1,k2,label
Z75093.1/322-141,1.9264873952224877,3.826319178655162,hacabox
AABY01000157.1/7666-7486,1.9314659247064854,3.8307394736558504,hacabox
AACH01000064.1/11375-11554,1.9309020866957014,3.8510856183345785,hacabox
AACA01000382.1/3439-3617,1.9518357438046468,3.8638406094041975,hacabox
AACI02000001.1/14209-14385,1.9393628650809938,3.8250817838330144,hacabox
