nameseq,k1,k2,label
Z71668.1/1563-1290,0.7299003676274709,0.9247675401521556,hacabox
AABY01000051.1/17563-17291,0.7265896496665728,0.9226859861591695,hacabox
AACI02000264.1/7638-7365,0.7238265224572433,0.9205544150599095,hacabox
AACH01002253.1/53-321,0.7266345130664309,0.9217253285809758,hacabox
AACA01000197.1/13773-13499,0.7240462809917356,0.9193350737918908,hacabox
nameseq,k1,k2,label
Z71668.1/1563-1290,0.7299003676274709,0.9247675401521556,hacabox
AABY01000051.1/17563-17291,0.7265896496665728,0.9226859861591695,hacabox
AACI02000264.1/7638-7365,0.7238265224572433,0.9205544150599095,hacabox
AACH01002253.1/53-321,0.7266345130664309,0.9217253285809758,hacabox
AACA01000197.1/13773-13499,0.7240462809917356,0.9193350737918908,hacabox
