nameseq,k1,k2,label
AY948710.1/1-140,1.9573984562689453,3.8607887524180957,hacabox
DQ789495.1/2-142,1.940022553637502,3.8325311239394013,hacabox
AAGD02001053.1/226532-226393,1.9577685425334015,3.8576348184715217,hacabox
AY948717.1/1-139,1.940961598553526,3.844325646774156,hacabox
DQ789494.1/1-141,1.9484597253816371,3.8204606068132914,hacabox
nameseq,k1,k2,label
AY948710.1/1-140,1.9573984562689453,3.8607887524180957,hacabox
DQ789495.1/2-142,1.940022553637502,3.8325311239394013,hacabox
AAGD02001053.1/226532-226393,1.9577685425334015,3.8576348184715217,hacabox
AY948717.1/1-139,1.940961598553526,3.844325646774156,hacabox
DQ789494.1/1-141,1.9484597253816371,3.8204606068132914,hacabox
