nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
ABGY01000889.1/1819-1978_neg_1,57116103.999999866,108850.43208201634,34393355144.0,42923.31630974399,4.668852530044194e-06,0.19712035583865176,1227855876.241702,1228624006.3614,57475.8993254037,63638.72613749721,108850.43208201634,352803.98523449176,34393312220.68369,1.5095169490075374e+18,289165.25909699453,144582.62954849727,21.49754255370263,0.13928488189283877,0.06633060989792955,negative
ABGY01000889.1/1819-1978_neg_2,57003936.00000004,105672.397658429,34200840232.0,44868.155107337465,4.6780395421583964e-06,0.19788942360472606,1221204386.9758317,1221968356.0133173,57676.66440393438,63714.64649026469,105672.397658429,379172.79866573605,34200795363.844894,1.4932066630978893e+18,315458.15217547136,157729.07608773568,21.423159042488415,0.1397757759695986,0.06878194028481567,negative
ABGY01000889.1/1819-1978_neg_3,55962072.00000002,105229.2742350283,33591450584.0,43329.563958833925,4.7651321178148405e-06,0.19721745251461997,1199066778.1022933,1199816898.1494513,57510.32117028131,63001.86621925898,105229.2742350283,369781.89131680713,33591407254.436043,1.4395605890849708e+18,306780.02509754815,153390.01254877407,21.42641855902499,0.13975078889476114,0.07101019367563309,negative
BX901883.5/169709-169573_neg_1,4134392.999999996,10149.876036437305,2094270147.0,2119.2596318238825,5.5227776685315975e-05,0.38638348893407537,80814806.74943599,80873860.32454269,4888.193514450651,5628.351550386751,10149.876036437305,35424.154176427306,2094268027.7403681,6540581283793640.0,29795.802626040553,14897.901313020277,19.54695810229847,0.15309978294264776,0.08375300912133447,negative
BX901883.5/169709-169573_neg_2,4105417.0000000014,9702.771282599835,2041348947.0,2616.533784787052,5.561757388672899e-05,0.386752638098906,78984613.5423169,79042329.74551907,4858.137375363696,5771.074600562331,9702.771282599835,32797.58758289711,2041346330.4662151,6247689891599368.0,27026.51298233478,13513.25649116739,19.239120786589247,0.1555637501419087,0.0734886781555702,negative
BX901883.5/169709-169573_neg_3,4235568.999999991,10308.46983343181,2140765107.0,2296.4128077887226,5.390853822316054e-05,0.38810483067227386,82586808.82306392,82647157.2482328,4730.238235905438,5831.727503887595,10308.46983343181,31420.404813109864,2140762810.5871923,6830552601214119.0,25588.67730922227,12794.338654611134,19.498397694162012,0.15348433691942975,0.06708542962682547,negative
BX640401.2/48470-48342_neg_1,3421028.9999999953,8645.694610651077,1613652027.0,1872.8737318122453,6.284658797104623e-05,0.36973101554796445,64142452.13439624,64192232.85755443,4249.37537494004,5093.956905917789,8645.694610651077,31909.635160392845,1613650154.1262681,4120642759238490.0,26815.678254475057,13407.839127237528,18.74946167787421,0.15960022692488215,0.07163445418100592,negative
BX640401.2/48470-48342_neg_2,3382965.000000003,9677.395456460437,1615492395.0,1567.0573815913353,6.355371693174473e-05,0.3798580344738179,64315559.96528691,64365475.036801286,4683.610592614677,5560.570219168517,9677.395456460437,29698.743194558418,1615490827.9426184,4142914376713089.5,24138.1729753899,12069.08648769495,19.011594848095342,0.15734703731247351,0.07123606968406511,negative
BX640401.2/48470-48342_neg_3,3413701.000000005,8451.917125371696,1682092387.0,2000.386040136135,6.298149720786902e-05,0.3846805019640669,66790279.75573394,66842115.44825175,4525.411943702635,5463.948438577274,8451.917125371696,31170.01132038556,1682090386.6139598,4467868397597415.0,25706.062881808288,12853.031440904144,19.565357292783943,0.15295260457038107,0.06030658895696239,negative
BX640401.2/45102-44982_neg_1,1635553.0000000019,4883.3706688474795,753413259.0,1069.2452894471328,0.00012330182309388103,0.5159898813798229,30870882.5451553,30896427.34269553,2387.7259726431557,2768.530599319275,4883.3706688474795,16107.295224241981,753412189.7547106,954589222542464.0,13338.764624922707,6669.382312461354,18.874889743808527,0.15846676494712608,0.0811416255428714,negative
