nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
LM5Cs1H1,52.649122807017555,10.070175438596493,0.5291352692650876,44.0,2.0,9.132282528467217,2.880325814536341,0.058354218880534665,0.0632688927943761,281.0,545.0,2719.0,33.263157894736835,7.68421052631579,0.47462053273949767,43.0,0.0,9.624817874306682,1.7976931348623157e+308,0.08067226890756303,0.08152173913043478,281.0,174.0,621.0,5.666666666666668,5.36842105263158,0.39865541535213406,41.0,0.0,9.323864079155936,1.7976931348623157e+308,0.22962962962962966,0.19736842105263158,281.0,66.0,172.0,2.912280701754386,4.31578947368421,0.2900865015425429,41.0,0.0,8.728171558963322,1.7976931348623157e+308,0.32727272727272727,0.2,281.0,39.0,86.0,1.0175438596491222,2.49122807017544,0.11796995377503872,33.0,0.0,6.9107665987986975,1.7976931348623157e+308,0.0,0.0,281.0,9.0,12.0,0.29824561403508765,1.9649122807017552,-0.17526010368448758,33.0,0.0,6.078333428910189,1.7976931348623157e+308,0.0,0.0,281.0,5.0,4.0,0.07017543859649122,1.5438596491228067,0.16682534645086047,27.0,0.0,5.360905184887555,1.7976931348623157e+308,0.0,0.0,281.0,2.0,1.0,0.0,1.0526315789473688,0.0,20.0,0.0,4.46593756538872,1.7976931348623157e+308,0.0,0.0,281.0,0.0,0.0,0.0,1.0526315789473688,0.0,20.0,0.0,4.46593756538872,1.7976931348623157e+308,0.0,0.0,281.0,0.0,0.0,0.0,1.0526315789473688,0.0,20.0,0.0,4.46593756538872,1.7976931348623157e+308,0.0,0.0,281.0,0.0,0.0,real
LM5Cs1H2,54.28571428571429,3.142857142857143,0.3750336810500788,10.0,1.0,1.8717375244793855,3.64808362369338,0.0,0.0,66.0,125.0,348.0,0.047619047619047616,0.6666666666666667,0.027777777777777294,7.0,0.0,1.5836465855538941,1.7976931348623157e+308,0.0,0.0,66.0,2.0,0.0,0.0,0.38095238095238093,1.0,5.0,0.0,1.214052265141139,1.7976931348623157e+308,0.0,0.0,66.0,0.0,0.0,0.0,0.23809523809523814,0.0,5.0,0.0,1.0647942749999,1.7976931348623157e+308,0.0,0.0,66.0,0.0,0.0,0.0,0.23809523809523814,0.0,5.0,0.0,1.0647942749999,1.7976931348623157e+308,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
LM5Cs1H3,60.92857142857145,3.428571428571428,0.31163455275157054,12.0,2.0,2.139680184634378,3.9721254355400695,0.06190476190476191,0.07317073170731707,72.0,117.0,286.0,1.5238095238095246,1.1904761904761905,-0.17721063982746216,12.0,0.0,2.41264619826541,1.7976931348623157e+308,0.35000000000000003,0.17647058823529413,72.0,15.0,25.0,0.023809523809523808,0.42857142857142844,-0.5,6.0,0.0,1.2371791482634837,1.7976931348623157e+308,0.0,0.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
LM5Cs1H4,54.666666666666664,3.1428571428571432,0.04119277453885145,8.0,2.0,1.3375782766845847,3.6666666666666665,0.016260162601626015,0.02459016393442623,66.0,120.0,298.0,0.04761904761904763,0.7142857142857142,-0.10932475884244416,5.0,0.0,1.2399253872658607,1.7976931348623157e+308,0.0,0.0,66.0,2.0,0.0,0.0,0.14285714285714288,0.0,3.0,0.0,0.6388765649999399,1.7976931348623157e+308,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
LM15Cs1H1,45.72972972972974,3.2972972972972974,0.4627522935779819,10.0,2.0,1.9433165418645997,3.5405405405405403,0.06756756756756757,0.05128205128205128,61.0,113.0,299.0,0.10810810810810816,0.756756756756757,0.41666666666666685,8.0,0.0,1.8802732033433607,1.7976931348623157e+308,0.0,0.0,61.0,2.0,1.0,0.0,0.32432432432432434,0.0,6.0,0.0,1.3567459889741764,1.7976931348623157e+308,0.0,0.0,61.0,0.0,0.0,0.0,0.32432432432432434,0.0,6.0,0.0,1.3567459889741764,1.7976931348623157e+308,0.0,0.0,61.0,0.0,0.0,0.0,0.32432432432432434,0.0,6.0,0.0,1.3567459889741764,1.7976931348623157e+308,0.0,0.0,61.0,0.0,0.0,0.0,0.32432432432432434,0.0,6.0,0.0,1.3567459889741764,1.7976931348623157e+308,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
LM18Cs1H1,47.53846153846155,3.3333333333333335,0.08756137479541727,8.0,1.0,1.6996731711975945,3.5020242914979756,0.0324561403508772,0.023076923076923078,65.0,128.0,347.0,0.12820512820512822,0.8205128205128207,-0.009708737864077669,5.0,0.0,1.4477532526659593,1.7976931348623157e+308,0.0,0.0,65.0,3.0,1.0,0.0,0.3076923076923077,0.0,3.0,0.0,0.9101661204768638,1.7976931348623157e+308,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
LM23Cs1H1,52.666666666666664,3.282051282051283,0.33576853945613727,8.0,2.0,1.7679296590705844,3.7719298245614037,0.013675213675213675,0.027522935779816515,62.0,107.0,260.0,0.25641025641025644,0.923076923076923,0.166666666666666,6.0,0.0,1.6853001769389724,1.7976931348623157e+308,0.0,0.0,62.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
LM26Cs1H1,49.162162162162154,3.5675675675675684,0.4353562835170711,14.0,1.0,2.6461654106593104,3.7312312312312312,0.011111111111111112,0.028037383177570093,66.0,105.0,264.0,0.2162162162162162,1.2432432432432432,0.16088933804951988,13.0,0.0,2.5931865548780504,1.7976931348623157e+308,0.0,0.0,66.0,4.0,3.0,0.027027027027027025,0.918918918918919,0.2231454005934718,11.0,0.0,2.2705919977954836,1.7976931348623157e+308,0.0,0.0,66.0,1.0,0.0,0.027027027027027025,0.5945945945945944,-0.8615384615384624,11.0,0.0,2.1618242979266187,1.7976931348623157e+308,0.0,0.0,66.0,1.0,0.0,0.0,0.3783783783783785,0.0,7.0,0.0,1.5828703204698726,1.7976931348623157e+308,0.0,0.0,66.0,0.0,0.0,0.0,0.3783783783783785,0.0,7.0,0.0,1.5828703204698726,1.7976931348623157e+308,0.0,0.0,66.0,0.0,0.0,0.0,0.3783783783783785,0.0,7.0,0.0,1.5828703204698726,1.7976931348623157e+308,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
LM26Cs1H2,53.36363636363635,3.545454545454546,0.03912363067292609,8.0,1.0,1.839646031349824,3.482029598308668,0.044444444444444446,0.04945054945054945,78.0,176.0,562.0,0.27272727272727276,0.909090909090909,-0.11111111111111212,6.0,0.0,1.4431370787625037,1.7976931348623157e+308,0.0,0.0,78.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
LM26Cs1H3,58.87499999999999,4.1000000000000005,0.3633620744069783,14.0,1.0,2.7092434368288134,4.019230769230769,0.06495726495726495,0.0703125,82.0,122.0,323.0,2.5999999999999996,2.0500000000000007,-0.13532386226823986,14.0,0.0,3.0573681492420897,1.7976931348623157e+308,0.0,0.0,82.0,23.0,39.0,0.32499999999999996,1.2499999999999998,-0.4985380116959055,10.0,0.0,2.321098877687032,1.7976931348623157e+308,0.0,0.0,82.0,6.0,3.0,0.0,0.19999999999999998,0.0,4.0,0.0,0.8717797887081347,1.7976931348623157e+308,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
