nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
FBgn0065055,60.61403508771928,5.824561403508771,0.5558652821230107,22.0,2.0,3.8667398980552163,3.1647869674185465,0.08157894736842106,0.06266318537859007,159.0,367.0,1533.0,29.35087719298244,3.2280701754385968,0.6993810108450987,18.0,0.0,3.732350484001507,1.7976931348623157e+308,0.14285714285714285,0.11764705882352941,159.0,47.0,81.0,0.07017543859649122,1.2631578947368425,0.9442436757873002,16.0,0.0,2.7942692971318666,1.7976931348623157e+308,0.0,0.0,159.0,2.0,1.0,0.0,0.8421052631578946,1.0,16.0,0.0,2.566925074831141,1.7976931348623157e+308,0.0,0.0,159.0,0.0,0.0,0.0,0.2807017543859649,0.0,16.0,0.0,2.1005795855573,1.7976931348623157e+308,0.0,0.0,159.0,0.0,0.0,0.0,0.2807017543859649,0.0,16.0,0.0,2.1005795855573,1.7976931348623157e+308,0.0,0.0,159.0,0.0,0.0,0.0,0.2807017543859649,0.0,16.0,0.0,2.1005795855573,1.7976931348623157e+308,0.0,0.0,159.0,0.0,0.0,0.0,0.2807017543859649,0.0,16.0,0.0,2.1005795855573,1.7976931348623157e+308,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
FBgn0065064,61.42857142857143,7.015873015873017,0.43053097345132724,18.0,2.0,4.076615712378923,2.9815668202764978,0.08148148148148149,0.0800711743772242,217.0,532.0,2472.0,30.7142857142857,4.126984126984127,0.41153775924322555,17.0,0.0,4.347931686690695,1.7976931348623157e+308,0.041025641025641026,0.0625,217.0,92.0,234.0,2.158730158730158,2.031746031746033,0.0898989898989899,15.0,0.0,3.5899695093910293,1.7976931348623157e+308,0.0,0.0,217.0,23.0,41.0,0.06349206349206349,0.9841269841269837,0.2912665752171938,9.0,0.0,2.2990133390394623,1.7976931348623157e+308,0.0,0.0,217.0,2.0,1.0,0.0,0.3492063492063492,1.0,6.0,0.0,1.3470571117001349,1.7976931348623157e+308,0.0,0.0,217.0,0.0,0.0,0.0,0.19047619047619052,0.0,6.0,0.0,1.051939144494025,1.7976931348623157e+308,0.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
FBgn0082954,64.40350877192985,4.982456140350878,0.4283863504916138,16.0,2.0,3.0977707211894794,3.3001253132832082,0.0573934837092732,0.10112359550561797,141.0,332.0,1265.0,5.929824561403509,2.070175438596491,0.28860754724090487,14.0,0.0,3.0427345106917616,1.7976931348623157e+308,0.05555555555555555,0.0967741935483871,141.0,29.0,47.0,0.6140350877192986,0.8771929824561404,0.37150837988826674,6.0,0.0,1.892461271601656,1.7976931348623157e+308,0.0,0.0,141.0,5.0,4.0,0.0,0.14035087719298245,0.0,4.0,0.0,0.7360062092422116,1.7976931348623157e+308,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
FBgn0082960,67.56896551724138,4.724137931034485,0.321293534115742,14.0,1.0,2.650914633625182,3.3708408953418028,0.12046783625730992,0.0712166172106825,137.0,321.0,1200.0,2.3448275862068964,1.8620689655172415,0.29898315984084256,12.0,0.0,2.494464740194045,1.7976931348623157e+308,0.16666666666666669,0.15,137.0,18.0,20.0,0.13793103448275862,0.8275862068965515,-0.019438444924406047,10.0,0.0,1.9399425074531313,1.7976931348623157e+308,0.0,0.0,137.0,4.0,3.0,0.0,0.41379310344827597,0.0,4.0,0.0,1.2181739125969446,1.7976931348623157e+308,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
FBgn0082962,51.35849056603773,5.6603773584905674,0.39661207273347493,16.0,2.0,3.2733538062084646,2.9753265602322205,0.08894878706199463,0.08933002481389578,147.0,379.0,1586.0,24.849056603773597,2.6792452830188678,0.36334701263450386,14.0,0.0,3.202437661777679,1.7976931348623157e+308,0.0,0.0,147.0,39.0,65.0,0.018867924528301896,0.8679245283018868,0.6772349272349271,8.0,0.0,1.7594782229244932,1.7976931348623157e+308,0.0,0.0,147.0,1.0,0.0,0.0,0.30188679245283023,1.0,8.0,0.0,1.3115582790175675,1.7976931348623157e+308,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
FBgn0082963,61.49999999999998,5.555555555555556,0.4518556116550971,24.0,2.0,4.241185485331625,3.3207547169811322,0.03461199294532628,0.031141868512110725,147.0,283.0,1015.0,12.314814814814815,3.1481481481481484,0.4794102757616131,23.0,0.0,4.453078034130114,1.7976931348623157e+308,0.03125,0.06976744186046512,147.0,41.0,81.0,3.8518518518518507,1.9629629629629628,0.4584381915902623,19.0,0.0,3.976612009324311,1.7976931348623157e+308,0.18518518518518517,0.16666666666666666,147.0,16.0,20.0,0.37037037037037046,0.9629629629629627,0.6220930232558138,16.0,0.0,2.9749756485960304,1.7976931348623157e+308,0.0,0.0,147.0,4.0,3.0,0.0,0.22222222222222227,0.0,12.0,0.0,1.6178021976178938,1.7976931348623157e+308,0.0,0.0,147.0,0.0,0.0,0.0,0.22222222222222227,0.0,12.0,0.0,1.6178021976178938,1.7976931348623157e+308,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
FBgn0082967,71.19642857142856,5.107142857142858,0.6154181834722324,24.0,1.0,3.725772074486093,3.588961038961039,0.044356261022927695,0.06774193548387097,137.0,296.0,1086.0,4.857142857142855,2.4642857142857144,0.6180075170332221,21.0,0.0,3.625131946930078,1.7976931348623157e+308,0.0,0.0,137.0,27.0,30.0,0.017857142857142856,0.8928571428571427,0.49315429173249103,19.0,0.0,3.1034460767057657,1.7976931348623157e+308,0.0,0.0,137.0,1.0,0.0,0.0,0.5714285714285715,0.4666666666666667,16.0,0.0,2.6649654437396615,1.7976931348623157e+308,0.0,0.0,137.0,0.0,0.0,0.0,0.2857142857142857,0.0,16.0,0.0,2.1189138534559038,1.7976931348623157e+308,0.0,0.0,137.0,0.0,0.0,0.0,0.2857142857142857,0.0,16.0,0.0,2.1189138534559038,1.7976931348623157e+308,0.0,0.0,137.0,0.0,0.0,0.0,0.2857142857142857,0.0,16.0,0.0,2.1189138534559038,1.7976931348623157e+308,0.0,0.0,137.0,0.0,0.0,0.0,0.2857142857142857,0.0,16.0,0.0,2.1189138534559038,1.7976931348623157e+308,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
FBgn0082972,65.56896551724138,4.655172413793102,0.5933235393482733,20.0,2.0,3.1543714830425578,3.3006654567453118,0.03333333333333333,0.029508196721311476,129.0,299.0,1097.0,0.5344827586206894,1.7931034482758617,0.7499546361821812,16.0,0.0,2.952255833517792,1.7976931348623157e+308,0.0,0.0,129.0,13.0,8.0,0.0,0.7586206896551723,1.0,16.0,0.0,2.4726806954479392,1.7976931348623157e+308,0.0,0.0,129.0,0.0,0.0,0.0,0.5517241379310347,1.0,16.0,0.0,2.400951060072995,1.7976931348623157e+308,0.0,0.0,129.0,0.0,0.0,0.0,0.27586206896551724,0.0,16.0,0.0,2.0827129476608963,1.7976931348623157e+308,0.0,0.0,129.0,0.0,0.0,0.0,0.27586206896551724,0.0,16.0,0.0,2.0827129476608963,1.7976931348623157e+308,0.0,0.0,129.0,0.0,0.0,0.0,0.27586206896551724,0.0,16.0,0.0,2.0827129476608963,1.7976931348623157e+308,0.0,0.0,129.0,0.0,0.0,0.0,0.27586206896551724,0.0,16.0,0.0,2.0827129476608963,1.7976931348623157e+308,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
FBgn0082973,58.982456140350884,5.298245614035088,0.32467460251262065,14.0,2.0,3.1951987681119185,3.106516290726817,0.05104427736006683,0.07105263157894737,150.0,362.0,1444.0,12.631578947368423,2.5964912280701764,0.2023801960908884,12.0,0.0,3.2382562403233672,1.7976931348623157e+308,0.03333333333333333,0.05263157894736842,150.0,55.0,115.0,0.08771929824561404,0.7017543859649126,-0.6589861751152056,6.0,0.0,1.7061798128300643,1.7976931348623157e+308,0.0,0.0,150.0,3.0,1.0,0.0,0.1754385964912281,0.0,5.0,0.0,0.9200077615527645,1.7976931348623157e+308,0.0,0.0,150.0,0.0,0.0,0.0,0.1754385964912281,0.0,5.0,0.0,0.9200077615527645,1.7976931348623157e+308,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
FBgn0082976,63.068965517241374,5.275862068965519,0.7883396358081158,28.0,1.0,3.903107088780972,3.2129461584996974,0.08738512949039266,0.06976744186046512,147.0,369.0,1484.0,9.586206896551722,2.413793103448276,0.8581307076553047,26.0,0.0,3.8012451805574257,1.7976931348623157e+308,0.13125,0.10344827586206896,147.0,27.0,41.0,0.0,0.6206896551724138,1.0,24.0,0.0,3.1884900015356776,1.7976931348623157e+308,0.0,0.0,147.0,0.0,0.0,0.0,0.41379310344827597,0.0,24.0,0.0,3.124069421491345,1.7976931348623157e+308,0.0,0.0,147.0,0.0,0.0,0.0,0.41379310344827597,0.0,24.0,0.0,3.124069421491345,1.7976931348623157e+308,0.0,0.0,147.0,0.0,0.0,0.0,0.41379310344827597,0.0,24.0,0.0,3.124069421491345,1.7976931348623157e+308,0.0,0.0,147.0,0.0,0.0,0.0,0.41379310344827597,0.0,24.0,0.0,3.124069421491345,1.7976931348623157e+308,0.0,0.0,147.0,0.0,0.0,0.0,0.41379310344827597,0.0,24.0,0.0,3.124069421491345,1.7976931348623157e+308,0.0,0.0,147.0,0.0,0.0,0.0,0.41379310344827597,0.0,24.0,0.0,3.124069421491345,1.7976931348623157e+308,0.0,0.0,147.0,0.0,0.0,0.0,0.41379310344827597,0.0,24.0,0.0,3.124069421491345,1.7976931348623157e+308,0.0,0.0,147.0,0.0,0.0,real
