nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
AB003409.1/96-167,135.463768115942,3.9420289855072466,0.9032737319847719,90.0,1.0,10.50173768639945,4.984228473998295,0.0,0.0,115.0,161.0,386.0,0.2898550724637682,1.5942028985507244,0.7078551962921489,89.0,0.0,10.644885606807646,1.7976931348623157e+308,0.0,0.0,115.0,4.0,3.0,0.0,1.3043478260869563,-0.03448275862069034,87.0,0.0,10.398305809366448,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2173913043478262,0.0,84.0,0.0,10.038865871069088,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2173913043478262,0.0,84.0,0.0,10.038865871069088,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2173913043478262,0.0,84.0,0.0,10.038865871069088,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2173913043478262,0.0,84.0,0.0,10.038865871069088,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2173913043478262,0.0,84.0,0.0,10.038865871069088,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2173913043478262,0.0,84.0,0.0,10.038865871069088,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2173913043478262,0.0,84.0,0.0,10.038865871069088,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,negative
AB009835.1/1-71,125.39062499999997,4.3125,0.905086683978819,98.0,1.0,11.87154555018006,4.980654761904762,0.015343915343915344,0.03389830508474576,115.0,173.0,444.0,0.0,1.8750000000000004,0.9018003273322422,94.0,0.0,11.634404797839897,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.4375,0.0,92.0,0.0,11.409802528966047,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.4375,0.0,92.0,0.0,11.409802528966047,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.4375,0.0,92.0,0.0,11.409802528966047,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.4375,0.0,92.0,0.0,11.409802528966047,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.4375,0.0,92.0,0.0,11.409802528966047,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.4375,0.0,92.0,0.0,11.409802528966047,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.4375,0.0,92.0,0.0,11.409802528966047,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.4375,0.0,92.0,0.0,11.409802528966047,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,negative
AB013372.1/8-81,144.23611111111111,3.7777777777777786,0.96529181341992,86.0,1.0,9.816683958986216,5.062989045383412,0.0,0.0,115.0,174.0,437.0,0.0,1.3333333333333337,1.0,84.0,0.0,9.826268648655784,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.166666666666667,0.0,84.0,0.0,9.830508068705752,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.166666666666667,0.0,84.0,0.0,9.830508068705752,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.166666666666667,0.0,84.0,0.0,9.830508068705752,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.166666666666667,0.0,84.0,0.0,9.830508068705752,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.166666666666667,0.0,84.0,0.0,9.830508068705752,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.166666666666667,0.0,84.0,0.0,9.830508068705752,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.166666666666667,0.0,84.0,0.0,9.830508068705752,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.166666666666667,0.0,84.0,0.0,9.830508068705752,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,negative
AB013373.1/3754-3825,138.51470588235293,4.000000000000001,0.900508656803721,90.0,1.0,10.606601717798213,5.13476733977173,0.019900497512437814,0.01818181818181818,115.0,163.0,413.0,0.691176470588235,1.6764705882352946,0.7951388322793297,88.0,0.0,10.621068374961416,1.7976931348623157e+308,0.0,0.0,115.0,7.0,7.0,0.0,1.3235294117647056,1.0,84.0,0.0,10.113242885489283,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2352941176470589,0.0,84.0,0.0,10.111318129960084,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2352941176470589,0.0,84.0,0.0,10.111318129960084,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2352941176470589,0.0,84.0,0.0,10.111318129960084,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2352941176470589,0.0,84.0,0.0,10.111318129960084,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2352941176470589,0.0,84.0,0.0,10.111318129960084,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2352941176470589,0.0,84.0,0.0,10.111318129960084,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2352941176470589,0.0,84.0,0.0,10.111318129960084,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,negative
AB017063.1/58819-58900,127.93150684931506,3.2876712328767117,0.6757915914826311,28.0,1.0,3.295823226635077,4.55365296803653,0.02179745137491616,0.026785714285714284,115.0,220.0,609.0,0.47945205479452063,0.7945205479452051,0.7306371751779969,24.0,0.0,3.015752724636607,1.7976931348623157e+308,0.0,0.0,115.0,8.0,6.0,0.0,0.3561643835616439,1.0,20.0,0.0,2.366257451999344,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,0.273972602739726,0.0,20.0,0.0,2.3247346230790606,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,0.273972602739726,0.0,20.0,0.0,2.3247346230790606,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,0.273972602739726,0.0,20.0,0.0,2.3247346230790606,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,0.273972602739726,0.0,20.0,0.0,2.3247346230790606,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,0.273972602739726,0.0,20.0,0.0,2.3247346230790606,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,0.273972602739726,0.0,20.0,0.0,2.3247346230790606,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,0.273972602739726,0.0,20.0,0.0,2.3247346230790606,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,negative
AB027572.1/4261-4342,132.11842105263162,3.2631578947368416,0.8179498472920971,38.0,1.0,4.218906134896728,4.523157894736842,0.00488888888888889,0.013761467889908258,115.0,216.0,588.0,0.013157894736842106,0.6842105263157896,0.6283877349159248,36.0,0.0,4.136520678553382,1.7976931348623157e+308,0.0,0.0,115.0,1.0,0.0,0.0,0.4210526315789474,0.0,32.0,0.0,3.6464227527765845,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,0.4210526315789474,0.0,32.0,0.0,3.6464227527765845,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,0.4210526315789474,0.0,32.0,0.0,3.6464227527765845,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,0.4210526315789474,0.0,32.0,0.0,3.6464227527765845,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,0.4210526315789474,0.0,32.0,0.0,3.6464227527765845,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,0.4210526315789474,0.0,32.0,0.0,3.6464227527765845,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,0.4210526315789474,0.0,32.0,0.0,3.6464227527765845,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,0.4210526315789474,0.0,32.0,0.0,3.6464227527765845,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,negative
AB031211.1/7799-7884,123.68918918918921,3.1621621621621614,0.14049801833540232,8.0,2.0,1.6359725351807088,4.388744909292854,0.004566210045662101,0.012552301255230125,115.0,237.0,679.0,0.10810810810810813,0.6216216216216217,0.30744849445324923,5.0,0.0,1.280864390386247,1.7976931348623157e+308,0.0,0.0,115.0,4.0,2.0,0.0,0.08108108108108111,0.0,3.0,0.0,0.4864864864864867,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,negative
AB031211.1/8065-8137,107.77272727272721,4.151515151515151,0.9319831100281201,88.0,0.0,10.499989068165197,1.7976931348623157e+308,0.0,0.0,115.0,187.0,509.0,0.015151515151515152,1.6363636363636362,0.8837200228258166,86.0,0.0,10.502000334187947,1.7976931348623157e+308,0.0,0.0,115.0,1.0,0.0,0.0,1.2727272727272727,0.0,84.0,0.0,10.261055316016336,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2727272727272727,0.0,84.0,0.0,10.261055316016336,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2727272727272727,0.0,84.0,0.0,10.261055316016336,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2727272727272727,0.0,84.0,0.0,10.261055316016336,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2727272727272727,0.0,84.0,0.0,10.261055316016336,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2727272727272727,0.0,84.0,0.0,10.261055316016336,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2727272727272727,0.0,84.0,0.0,10.261055316016336,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2727272727272727,0.0,84.0,0.0,10.261055316016336,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,negative
AB031213.1/2203-2276,136.95384615384617,4.184615384615383,0.9653319305433572,86.0,1.0,10.323822052667701,5.279807692307692,0.019791666666666666,0.015544041450777202,115.0,191.0,532.0,0.03076923076923077,1.6615384615384614,0.9997408978369774,84.0,0.0,10.333332060825779,1.7976931348623157e+308,0.0,0.0,115.0,2.0,0.0,0.0,1.2923076923076924,0.0,84.0,0.0,10.33846153846154,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2923076923076924,0.0,84.0,0.0,10.33846153846154,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2923076923076924,0.0,84.0,0.0,10.33846153846154,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2923076923076924,0.0,84.0,0.0,10.33846153846154,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2923076923076924,0.0,84.0,0.0,10.33846153846154,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2923076923076924,0.0,84.0,0.0,10.33846153846154,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2923076923076924,0.0,84.0,0.0,10.33846153846154,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.2923076923076924,0.0,84.0,0.0,10.33846153846154,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,negative
AB031213.1/2678-2748,115.2063492063492,4.349206349206348,0.8703602560735758,92.0,1.0,11.236503339857393,4.716333845366103,0.01935483870967742,0.04945054945054945,115.0,176.0,459.0,0.1746031746031746,1.9365079365079352,0.8843992170419296,87.0,0.0,10.874278689266784,1.7976931348623157e+308,0.0,0.0,115.0,4.0,2.0,0.0,1.4285714285714284,-0.03448275862069034,87.0,0.0,10.87404699084861,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.3333333333333333,0.0,84.0,0.0,10.498677165349077,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.3333333333333333,0.0,84.0,0.0,10.498677165349077,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.3333333333333333,0.0,84.0,0.0,10.498677165349077,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.3333333333333333,0.0,84.0,0.0,10.498677165349077,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.3333333333333333,0.0,84.0,0.0,10.498677165349077,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.3333333333333333,0.0,84.0,0.0,10.498677165349077,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,0.0,1.3333333333333333,0.0,84.0,0.0,10.498677165349077,1.7976931348623157e+308,0.0,0.0,115.0,0.0,0.0,negative
