nameseq,k1,k2,label
BC028232.1/151-277,0.699485398970798,0.9021164021164021,hacabox
ABDC01310736.1/270-396,0.7153574307148614,0.9137062232300328,hacabox
AANG01147281.1/396-522,0.7209374418748837,0.9196271101033006,hacabox
AAFC03057820.1/30291-30417,0.7345774691549383,0.9257999496094734,hacabox
AANU01174700.1/2922-2796,0.7406534813069626,0.9109347442680776,hacabox
nameseq,k1,k2,label
BC028232.1/151-277,0.699485398970798,0.9021164021164021,hacabox
ABDC01310736.1/270-396,0.7153574307148614,0.9137062232300328,hacabox
AANG01147281.1/396-522,0.7209374418748837,0.9196271101033006,hacabox
AAFC03057820.1/30291-30417,0.7345774691549383,0.9257999496094734,hacabox
AANU01174700.1/2922-2796,0.7406534813069626,0.9109347442680776,hacabox
