nameseq,k1,k2,label
Z96806.1/1-140,1.974312877309431,3.88908322749843,hacabox
AK099797.1/1076-1214,1.961628000458741,3.893065841784072,hacabox
AL731784.3/25271-25133,1.961628000458741,3.893065841784072,hacabox
Z96808.1/1-140,1.9466362194043845,3.8277699038302444,hacabox
AL731784.3/23367-23229,1.9792255475514249,3.9155526567194183,hacabox
nameseq,k1,k2,label
Z96806.1/1-140,1.974312877309431,3.88908322749843,hacabox
AK099797.1/1076-1214,1.961628000458741,3.893065841784072,hacabox
AL731784.3/25271-25133,1.961628000458741,3.893065841784072,hacabox
Z96808.1/1-140,1.9466362194043845,3.8277699038302444,hacabox
AL731784.3/23367-23229,1.9792255475514249,3.9155526567194183,hacabox
