nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
SNORD11B,87128.0000000001,1036.262371295317,7919432.0,237.90161558573027,0.00042848835429865593,0.26471250531088086,747213.8622054599,750572.1436756349,475.86962287968055,511.2024308660413,1036.262371295317,3646.565538574023,7919194.098384414,563358542861.8379,3135.3631077079817,1567.6815538539909,8.576047449791789,0.34565099223908263,0.06439514423210292,real
SNORD117,62016.99999999992,853.8543940605205,4282323.0,130.53414839607206,0.0004998629408065537,0.2550650735670735,446787.6779209561,449209.30908854096,367.47578075190876,458.19946131103956,853.8543940605205,2435.9836916662834,4282192.465851604,201789003371.80435,1977.7842303552438,988.8921151776219,7.20427750328066,0.41068598326536754,0.1011530449588487,real
Me18S-C797,21561.99999999998,419.0635649254375,1270836.0,59.76295274617908,0.001283121540982594,0.33318919937097335,140958.10609539275,141815.00217098364,229.6322837957884,321.92651648311664,419.0635649254375,1519.7731516460894,1270776.2370472539,20111494840.756096,1197.8466351629727,598.9233175814863,6.537339119534035,0.4499834104063407,0.12976377643493187,real
SNORD105B,12069.999999999998,279.44807949389855,961548.0,49.25442636274689,0.0025407346037006357,0.539937313103902,99604.94712613426,100150.73174388276,120.62395941321239,136.9218594302019,279.44807949389855,786.7379436160695,961498.7455736373,10030169068.835165,649.8160841858676,324.9080420929338,8.252273995537221,0.35511946727631477,0.09168507130476317,real
SNORD118,43325.00000000001,691.8627609068674,3077195.0,167.2905386441085,0.0007770725139449893,0.32309790776219793,310515.4564945198,312064.17162054987,291.788777010932,439.27221255408233,691.8627609068674,2392.7975242087473,3077027.709461356,97384047209.22,1953.525311654665,976.7626558273325,7.167119595949677,0.41189386564251984,0.09437310903708926,real
Me28S-A2802,13847.00000000001,415.1005651453465,837291.0,101.43800091929447,0.0023591150911148003,0.43727659876603236,86595.4731380342,87040.69701434075,195.4204147115223,246.01419037066108,415.1005651453465,1164.859243723286,837189.5619990807,7576082936.742269,918.845053352625,459.4225266763125,6.253735331698862,0.4653326189503252,0.07073242586336294,real
SNORD12B,38468.000000000015,658.0326318533648,2919224.0,138.22209119884263,0.0008925167238570584,0.3098725696619224,288628.5221041053,290039.91693700285,224.26312604009496,348.1537810018817,658.0326318533648,1685.9648202315798,2919085.777908801,84123153416.82353,1337.811039229698,668.905519614849,7.503081057089143,0.39299616433446927,0.06783543441799567,real
SNORD111B,35756.99999999997,624.4763636193813,2281643.0,52.94856929981661,0.0008762852961191755,0.2927038501897057,239623.64871189152,240908.50322365618,246.4870597489169,330.0243736019777,624.4763636193813,1310.9739292149684,2281590.0514307003,58036906925.462364,980.9495556129907,490.47477780649535,6.701447233042249,0.43984628176605894,0.05819785012204475,real
SNORD58C,27155.0,363.85781523339557,1791915.0,83.0,0.0011047689191677407,0.33405111798848,189937.17895135746,191001.26110884332,208.51663604838777,276.9560978680157,363.85781523339557,1011.2226630483402,1791832.0,36481481745.16854,734.2665651803245,367.13328259016225,6.994556396662031,0.4231579462116961,0.04589913290717325,real
SNORD41B,13853.000000000015,260.5687901980169,924051.0,27.38117385071097,0.0022618446064630983,0.4471789815929968,95705.81414940265,96218.98573231189,98.9928911755316,135.06788887913768,260.5687901980169,754.1334999261579,924023.6188261493,9258093215.35484,619.0656110470202,309.5328055235101,6.908670623648491,0.4260691368838902,0.058111984563266134,real
SNORD119,28680.00000000001,439.99999999999994,1898888.0,83.23108087141279,0.0011157601115760107,0.33865759768603604,196363.98138151507,197394.77051847675,211.594199532322,246.72005940973747,439.99999999999994,1176.6788655623718,1898804.7689191287,38964695428.04211,929.9588061526343,464.97940307631717,6.846721805492154,0.4314436863825742,0.09404739912219866,real
