nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
Oa1707,52.85365853658537,3.658536585365853,0.34404761904761905,13.0,1.0,2.5241251186332203,3.642682926829268,0.044444444444444446,0.045112781954887216,74.0,129.0,365.0,0.9024390243902441,1.3170731707317072,-0.23412698412698482,11.0,0.0,2.654393728861032,1.7976931348623157e+308,0.4333333333333334,0.25,74.0,10.0,10.0,0.024390243902439022,0.8292682926829267,-0.4166666666666638,7.0,0.0,2.0941549203576275,1.7976931348623157e+308,0.75,0.75,74.0,2.0,0.0,0.0,0.39024390243902435,0.0,4.0,0.0,1.1868804937167259,1.7976931348623157e+308,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
Oa1735a,59.199999999999996,3.333333333333333,0.28905660377358483,10.0,1.0,1.9436506316151,3.690909090909091,0.035606060606060606,0.04195804195804196,74.0,139.0,382.0,1.7999999999999998,0.9333333333333332,-0.5573925366084099,8.0,0.0,1.9252705437591533,1.7976931348623157e+308,0.0,0.0,74.0,12.0,15.0,0.0,0.13333333333333336,0.0,3.0,0.0,0.6182412330330467,1.7976931348623157e+308,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
Oa1785,38.2258064516129,3.225806451612902,0.03407095187917274,8.0,1.0,1.640410598076273,3.5483870967741935,0.04111111111111111,0.033707865168539325,50.0,87.0,213.0,0.12903225806451613,1.032258064516129,0.4666666666666667,4.0,0.0,1.5130373418785261,1.7976931348623157e+308,0.6,0.6,50.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
Oa1817,46.75675675675676,3.2972972972972974,0.37958703874067246,8.0,2.0,1.9152992125974677,3.5975975975975976,0.10180180180180182,0.08256880733944955,60.0,103.0,273.0,0.16216216216216217,0.9729729729729729,-0.12676056338028263,6.0,0.0,1.668248579676861,1.7976931348623157e+308,0.0,0.0,60.0,4.0,1.0,0.027027027027027025,0.32432432432432434,-1.0,6.0,0.0,1.16373244008708,1.7976931348623157e+308,0.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
Oa1821,48.70000000000002,3.5500000000000003,0.26212171112818855,10.0,1.0,1.9868316486305528,3.4974358974358974,0.044444444444444446,0.08333333333333333,71.0,136.0,381.0,1.2999999999999998,1.0500000000000003,-0.16666666666666646,7.0,0.0,1.922888452302941,1.7976931348623157e+308,0.0,0.0,71.0,8.0,6.0,0.024999999999999998,0.45000000000000007,-0.5,6.0,0.0,1.2639224659764539,1.7976931348623157e+308,0.0,0.0,71.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
Oa1835,55.24489795918366,4.122448979591838,0.15086570764062296,10.0,2.0,2.2734730516952855,3.30187074829932,0.08333333333333334,0.06437768240343347,100.0,223.0,767.0,0.36734693877551017,1.5102040816326534,0.2640144665461117,7.0,0.0,2.0114209514830486,1.7976931348623157e+308,0.23333333333333334,0.25,100.0,10.0,4.0,0.0,0.3673469387755101,0.0,3.0,0.0,0.9834109227066741,1.7976931348623157e+308,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
Oa1853,57.317073170731724,3.024390243902439,0.16274921969552164,8.0,1.0,1.6152898233949704,3.8658536585365852,0.04702380952380952,0.049586776859504134,61.0,117.0,323.0,0.19512195121951217,0.5853658536585366,-0.30434782608695593,6.0,0.0,1.343014624188898,1.7976931348623157e+308,0.0,0.0,61.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
Oa1857,61.454545454545475,3.9545454545454555,0.3458501530408551,10.0,1.0,2.3056703369040723,3.858350951374207,0.10793650793650793,0.08695652173913043,84.0,130.0,323.0,0.3409090909090909,1.863636363636364,0.6776729559748431,8.0,0.0,2.3605749404725063,1.7976931348623157e+308,0.0,0.0,84.0,10.0,3.0,0.09090909090909093,0.7727272727272728,0.37230769230769195,8.0,0.0,1.9755739829182486,1.7976931348623157e+308,0.0,0.0,84.0,2.0,1.0,0.0,0.3636363636363637,1.0,8.0,0.0,1.431637795274875,1.7976931348623157e+308,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
Oa1942,64.21739130434783,3.695652173913044,-0.03488957402630004,10.0,1.0,1.8517860381779878,3.854106280193237,0.13100529100529099,0.10285714285714286,85.0,163.0,439.0,0.1956521739130435,1.2173913043478264,-0.3115789473684204,6.0,0.0,1.6406923707924528,1.7976931348623157e+308,0.0,0.0,85.0,7.0,2.0,0.0,0.26086956521739135,0.0,3.0,0.0,0.8453140041401557,1.7976931348623157e+308,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
Oa1990,52.599999999999994,3.650000000000001,0.8159507436167415,22.0,2.0,3.4245437652335533,3.6974358974358976,0.006666666666666666,0.025423728813559324,68.0,116.0,301.0,0.2749999999999999,1.2999999999999998,0.929044834307992,20.0,0.0,3.4510867853474796,1.7976931348623157e+308,0.5,0.3,68.0,8.0,7.0,0.0,0.5000000000000001,0.0,20.0,0.0,3.122498999199199,1.7976931348623157e+308,0.0,0.0,68.0,0.0,0.0,0.0,0.5000000000000001,0.0,20.0,0.0,3.122498999199199,1.7976931348623157e+308,0.0,0.0,68.0,0.0,0.0,0.0,0.5000000000000001,0.0,20.0,0.0,3.122498999199199,1.7976931348623157e+308,0.0,0.0,68.0,0.0,0.0,0.0,0.5000000000000001,0.0,20.0,0.0,3.122498999199199,1.7976931348623157e+308,0.0,0.0,68.0,0.0,0.0,0.0,0.5000000000000001,0.0,20.0,0.0,3.122498999199199,1.7976931348623157e+308,0.0,0.0,68.0,0.0,0.0,0.0,0.5000000000000001,0.0,20.0,0.0,3.122498999199199,1.7976931348623157e+308,0.0,0.0,68.0,0.0,0.0,0.0,0.5000000000000001,0.0,20.0,0.0,3.122498999199199,1.7976931348623157e+308,0.0,0.0,68.0,0.0,0.0,0.0,0.5000000000000001,0.0,20.0,0.0,3.122498999199199,1.7976931348623157e+308,0.0,0.0,68.0,0.0,0.0,real
