nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
GGgACA1a,10717.000000000015,297.1184570444579,769915.0,30.774769187670774,0.004136729806226862,0.621498739791791,68696.63131478865,68956.35485481839,142.25185574900763,172.73474104318396,297.1184570444579,781.6417889973814,769884.2252308123,4754978874.863636,608.9070479541974,304.4535239770987,6.410061707081138,0.4550389739727639,0.04777181044550049,real
GGgACA1b,10717.000000000015,297.1184570444579,769915.0,30.774769187670774,0.004136729806226862,0.621498739791791,68696.63131478865,68956.35485481839,142.25185574900763,172.73474104318396,297.1184570444579,781.6417889973814,769884.2252308123,4754978874.863636,608.9070479541974,304.4535239770987,6.410061707081138,0.4550389739727639,0.04777181044550049,real
GGgACA2,81161.99999999997,1001.2164341840194,6348660.0,205.49344515651177,0.0005380186129798019,0.27921007680883936,579861.387990268,582087.351599278,451.26050358907486,504.0526018580104,1001.2164341840194,3013.4398782698,6348454.506554844,338825684891.8616,2509.3872764117896,1254.6936382058948,7.144493580619849,0.41472385586998933,0.06117493567318922,real
GGgACA3,19540.0,399.5776406269114,1719000.0,39.71541375838123,0.0023029682702149436,0.5486149741337096,149344.4085997196,149900.6280616715,149.27170271937695,193.19136141989284,399.5776406269114,1005.2512235176974,1718960.2845862417,22470198293.28358,812.0598620978046,406.0299310489023,7.643009651981556,0.38448889795414193,0.05470745924085383,real
GGgACA4a,8025.9999999999945,225.88484726170677,344084.3953042759,27.3392098490511,0.005440651216878482,0.7557886483087324,43682.4744949276,43850.162153721765,77.22211605138048,108.94271584491227,225.88484726170677,851.4972595250372,344057.05609442684,1922836720.9076924,742.5545436801249,371.27727184006244,5.442620794284529,0.5356918473318655,0.11806090724498067,real
GGgACA4b,10623.000000000002,247.32527160784514,354491.0,30.845314025614805,0.004079199221814302,0.6459038006418095,52377.08644054192,52579.70648704276,94.84215849410555,139.06051337244799,247.32527160784514,896.3958884378907,354460.1546859744,2764625534.263566,757.3353750654427,378.66768753272135,4.930536236519054,0.5942870499395119,0.1087569620978157,real
GGgACA4c,11992.999999999996,347.4682131191345,852451.0,19.901014233895918,0.0037243947858473007,0.6423720624638298,76465.58223148504,76752.50850124107,161.61479351822513,179.0022740315799,347.4682131191345,1056.8649804851145,852431.0989857661,5890947561.233083,877.8627064535347,438.9313532267673,6.375851099098229,0.45689307975029436,0.11460252425491893,real
GGgACA5,6097.999999999995,221.54855450772035,324212.0,24.298694830996837,0.0071608177544550174,0.7634256617602876,30514.204987185887,30631.34248119073,86.62252015316747,124.37030469770245,221.54855450772035,800.4224710731581,324187.70130516903,938279142.2,676.0521663754557,338.02608318772786,5.0039693321065775,0.5777425413468935,0.06315680295137326,real
GGgACA6,14956.000000000013,303.71225123310694,720440.0,48.26020944785286,0.003008825889275205,0.5550975774559684,78546.67705256537,78839.21689960704,143.99116002795685,184.0051687129637,303.71225123310694,859.6807064562169,720391.7397905522,6215622121.343284,675.6755377432531,337.83776887162657,5.2518505651621625,0.5596272801825048,0.043897269371541606,real
GGgACA7,32368.000000000007,412.9602800117833,2605688.0,72.0,0.0013181743285549511,0.4498884575094761,235970.54216151647,236897.73843334732,186.51957431090315,233.3167560707045,412.9602800117833,1314.0062800958774,2605616.0,56120538474.83465,1080.689524025173,540.3447620125864,7.29024166341808,0.4062588418106324,0.08504020939756801,real
GGgACA8,45992.999999999956,597.7805517351749,3992819.0,131.48622449362108,0.0009711622783177159,0.3999055377774417,352384.15042961284,353706.42205631454,276.2195691585266,337.02800286316403,597.7805517351749,1682.1607658859398,3992687.5137755065,125108233003.8797,1345.1327630227756,672.5663815113878,7.661690918827064,0.38646930680271,0.10674849986983612,real
GGgACA9,53939.999999999985,472.4637683520339,5577464.0,128.72006090970928,0.0008342602892102339,0.3883611532771685,480184.9933473557,481973.398023107,243.2199065707668,312.08758180918926,472.4637683520339,1790.4616060008325,5577335.27993909,232298356401.9403,1478.3740241916432,739.1870120958216,8.90220603165287,0.33404336019912223,0.04727868549848129,real
GGgACA10,29490.00000000003,361.3956339608806,2335540.0,74.46522848250218,0.001480727930371876,0.4701366511621624,211929.7166940021,212743.26946161044,166.0771424990229,206.12463164701742,361.3956339608806,1278.449380236864,2335465.5347715174,45259698701.215385,1072.3247485898466,536.1623742949233,7.186494292777277,0.4123339306129058,0.05659425768018466,real
GGgACA11,12626.000000000004,336.6069494935631,972964.0,48.7884290534535,0.0034848724853476943,0.6461536850999731,86670.67898661,87000.8541974386,127.72861433375286,160.0,336.6069494935631,816.234855731837,972915.2115709465,7569148631.083969,656.234855731837,328.1174278659185,6.864460556519085,0.4253823736308237,0.0815098978285519,real
GGgACA12,22993.999999999996,450.10839790075244,1856428.0,77.27090594346018,0.001899046127975414,0.4727806565010362,165546.5382845561,166182.03596978085,154.13876531589108,208.75418817616355,450.10839790075244,1300.0702194776245,1856350.7290940566,27616469079.06154,1091.316031301461,545.6580156507305,7.199553722038624,0.4085357235923979,0.057115304644109015,real
GGgACA13,72681.99999999993,637.052611492588,7213748.0,73.42568531343085,0.0006053768470873124,0.33898969610979,629987.8032374913,632387.7654644576,291.67994926858574,353.40474350086583,637.052611492588,1653.8013157545251,7213674.5743146865,399914285909.12976,1300.3965722536593,650.1982861268297,8.667727955167607,0.3430778200066899,0.05419899141443277,real
GGgACA14,46039.000000000015,823.6106384509328,2989715.0,139.0,0.0009412309853240366,0.32626525366827286,287357.6173620598,288469.25639639917,401.61300899000906,476.0544432907407,823.6106384509328,2728.687403075951,2989576.0,83214511885.89148,2252.63295978521,1126.316479892605,6.241612923001362,0.4720465367505402,0.10368588102858343,real
GGgACA15,22047.999999999993,473.77223546224536,1490408.0,46.080266694303305,0.0019200532172230292,0.487946114082629,138068.0020279862,138614.8081363123,183.38373389867226,249.6414059860696,473.77223546224536,1381.2326444394153,1490361.9197333057,19214065034.666668,1131.5912384533456,565.7956192266728,6.262155389513164,0.468773954449591,0.06168899438836046,real
GGgACA16,33942.99999999998,358.5922233472635,3423011.0,36.997730948311236,0.0012766500702157547,0.4878220206265525,300210.7584747756,301372.11971069046,93.22895896063523,144.93757567515294,358.5922233472635,767.2796427083535,3422974.0022690515,90825154538.91473,622.3420670332006,311.1710335166003,8.844555828146474,0.33560830345266807,0.0889848634731625,real
